1,AL MOBILE,1
2,AL BIRMINGHAM,1
3,AL MONTGOMERY,1
4,AL DOTHAN,1
6,AL MOBILE SOUTH,1
7,AL BIRMINGHAM AL SUBLOT,1
8,AR LITTLE ROCK,1
9,AR FAYETTEVILLE,1
10,AZ PHOENIX,1
11,AZ PHOENIX NORTH,1
12,AZ TUCSON,1
13,CA ADELANTO,1
14,CA REDDING,1
15,CA ANTELOPE,1
16,CA BAKERSFIELD,1
17,CA SAN BERNARDINO,1
18,CA FRESNO,1
19,CA SACRAMENTO CA SUBLOT,1
20,CA HAYWARD,1
21,CA LANCASTER CA SUBLOT,1
22,CA LOS ANGELES,1
23,CA MARTINEZ,1
24,CA MENTONE,1
25,CA RANCHO CUCAMONGA,1
26,CA SACRAMENTO,1
27,CA SAN DIEGO,1
28,CA SAN JOSE,1
29,CA SANTA PAULA CA SUBLOT,1
30,CA SUN VALLEY,1
31,CA VALLEJO,1
32,CA VAN NUYS,1
33,CA LONG BEACH,1
34,CO DENVER,1
35,CO COLORADO SPRINGS,1
36,CO DENVER CENTRAL,1
37,CO FORT LUPTON,1
38,CO DENVER SOUTH,1
39,CT HARTFORD SPRINGFIELD,1
40,CT BERLIN CT SUBLOT,1
41,CT HARTFORD,1
42,DE SEAFORD,1
43,FL ORLANDO NORTH,1
44,FL PUNTA GORDA SOUTH,1
45,FL FT.PIERCE,1
46,FL MIAMI SOUTH,1
47,FL JACKSONVILLE EAST,1
48,FL JACKSONVILLE SOUTH,1
49,FL JACKSONVILLE NORTH,1
50,FL JACKSONVILLE WEST,1
51,FL MIAMI CENTRAL,1
52,FL MIAMI NORTH,1
53,FL TALLAHASSEE,1
54,FL OCALA,1
55,FL ORLANDO SOUTH,1
56,FL PUNTA GORDA,1
57,FL TAMPA SOUTH,1
58,FL WEST PALM BEACH,1
59,GA AUGUSTA,1
60,GA ATLANTA WEST,1
61,GA MACON,1
62,GA CARTERSVILLE,1
63,GA EAST POINT,1
64,GA CRASHEDTOYS ATLANTA,1
65,GA ATLANTA SOUTH,1
66,GA FAIRBURN,1
67,GA ATLANTA NORTH,1
68,GA ATLANTA EAST,1
69,GA SAVANNAH,1
70,GA TIFTON,1
71,GA METTER GA SUBLOT,1
72,IA DES MOINES,1
73,IA DAVENPORT,1
74,IA CRASHEDTOYS ELDRIDGE,1
75,ID BOISE,1
